DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-02-08 18:34:42,45446.05,45477.2,61.458,29.535,1451432.421,2658
2024-02-08 18:29:42,45408.83,45446.05,36.161,18.466,804180.565,2607
2024-02-08 18:24:42,45425.47,45408.83,28.228,33.297,-230122.92,3000
2024-02-08 18:19:42,45369.99,45425.47,85.228,31.733,2428979.138,3000
2024-02-08 18:14:42,45392.01,45369.99,22.347,63.486,-1866706.546,3000
2024-02-08 18:09:42,45423.25,45392.01,36.144,55.628,-884648.559,2870
2024-02-08 18:04:42,45480.65,45423.25,50.461,37.609,584154.594,3000
2024-02-08 17:59:42,45479.81,45480.65,51.145,79.836,-1303738.105,3000
2024-02-08 17:54:42,45531.34,45479.81,69.322,30.893,1749276.834,3000
2024-02-08 17:49:42,45450.0,45531.34,35.761,65.631,-1357025.411,3000
2024-02-08 17:44:42,45459.58,45450.0,37.552,44.962,-336770.231,3000
2024-02-08 17:39:42,45437.96,45459.58,41.282,52.866,-527235.99,3000
2024-02-08 17:34:42,45353.93,45437.96,95.766,44.114,2346695.687,3000
2024-02-08 17:29:42,45486.31,45353.93,44.246,45.286,-47254.002,2771
2024-02-08 17:24:42,45573.24,45486.31,18.31,60.984,-1941271.665,3000
2024-02-08 17:19:42,45421.2,45573.24,52.806,48.019,217837.126,3000
2024-02-08 17:14:42,45357.3,45421.2,62.398,25.395,1679426.364,3000
2024-02-08 17:09:42,45323.65,45357.3,51.109,33.793,785034.552,3000
