DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-02-09 15:27:08,47768.93,48177.49,110.736,62.81,2296678.135,3000
2024-02-09 15:22:08,47768.01,47826.93,69.581,84.186,-700090.744,3000
2024-02-09 15:17:08,47831.1,47768.01,49.405,99.895,-2412305.327,3000
2024-02-09 15:12:08,47809.99,47831.1,96.921,106.316,-449514.511,3000
2024-02-09 15:07:08,47652.23,47809.99,80.009,84.22,-201392.573,3000
2024-02-09 15:02:08,47573.2,47652.23,102.595,45.853,2702759.244,3000
2024-02-09 14:57:08,47551.66,47573.2,75.25,106.443,-1485240.535,3000
2024-02-09 14:52:08,47533.99,47551.66,64.035,69.858,-277048.083,3000
2024-02-09 14:47:08,47518.05,47533.99,39.271,70.072,-1464020.432,2800
2024-02-09 14:42:08,47551.1,47518.05,66.096,66.777,-32528.511,3000
2024-02-09 14:37:08,47608.1,47551.1,50.568,74.667,-1146295.138,3000
2024-02-09 14:32:08,47501.26,47608.1,39.589,88.112,-2309691.315,3000
2024-02-09 14:27:08,47447.99,47501.26,71.559,39.742,1512464.939,3000
2024-02-09 14:22:08,47394.09,47447.99,84.174,38.759,2155497.279,3000
2024-02-09 14:17:08,47348.21,47394.09,78.377,52.943,1205003.616,3000
2024-02-09 14:12:08,47234.69,47348.21,60.929,63.542,-123842.764,3000
2024-02-09 14:07:08,47297.19,47234.69,37.317,33.538,178297.991,3000
2024-02-09 14:02:08,47219.97,47297.19,39.547,37.932,76461.814,3000
2024-02-09 13:57:08,47213.98,47219.97,39.39,44.34,-234067.689,3000
2024-02-09 13:52:08,47337.98,47213.98,60.086,40.621,919100.726,3000
2024-02-09 13:47:08,47247.2,47337.98,63.578,36.089,1299783.674,3000
2024-02-09 13:42:08,47235.98,47247.2,30.705,61.374,-1449393.976,3000
2024-02-09 13:37:08,47299.09,47235.98,96.731,67.978,1357283.924,3000
2024-02-09 13:32:08,47264.24,47299.09,62.076,42.899,906331.581,3000
2024-02-09 13:27:08,47363.99,47264.24,39.969,60.869,-987504.077,3000
2024-02-09 13:22:08,47429.99,47363.99,50.743,67.998,-818126.3,3000
2024-02-09 13:17:08,47330.4,47429.99,73.348,56.182,812878.844,3000
2024-02-09 13:12:08,47231.58,47330.4,265.435,35.101,10900494.749,3000
2024-02-09 13:07:08,47155.99,47231.58,101.07,52.187,2308199.695,3000
2024-02-09 13:02:08,47105.97,47155.99,35.707,29.636,285570.018,3000
2024-02-09 12:57:08,47195.01,47105.97,57.627,48.515,429298.716,3000
2024-02-09 12:52:08,47236.71,47195.01,38.157,60.739,-1066157.641,3000
2024-02-09 12:47:08,47158.95,47236.71,37.99,36.166,86662.1,3000
2024-02-09 12:42:08,47147.56,47158.95,39.41,66.658,-1284502.372,3000
2024-02-09 12:37:08,47171.8,47147.56,56.038,60.472,-209062.739,3000
2024-02-09 12:32:08,47029.99,47171.8,95.241,39.703,2618981.928,3000
