DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-01-26 19:58:42,41963.04,41901.57,56.656,51.5,215655.24,2236
2024-01-26 19:53:42,41894.41,41963.04,33.611,22.148,479957.136,1727
2024-01-26 19:48:42,41930.03,41894.41,24.87,30.569,-238733.679,1836
2024-01-26 19:43:42,41873.36,41930.03,20.326,22.482,-90516.871,1800
2024-01-26 19:38:42,41888.53,41873.36,17.417,16.432,41242.434,1388
2024-01-26 19:33:42,41875.08,41888.53,32.876,31.165,71629.048,1895
2024-01-26 19:28:42,41864.4,41875.08,57.865,77.225,-809999.067,2618
2024-01-26 19:23:42,41867.75,41864.4,66.648,41.97,1033607.919,2562
2024-01-26 19:18:42,41842.44,41867.75,56.912,80.398,-982955.486,2643
2024-01-26 19:13:42,41966.01,41842.44,46.196,175.651,-5421172.21,3000
2024-01-26 19:08:42,42004.66,41966.01,64.926,127.131,-2610676.368,2993
2024-01-26 19:03:42,41971.3,42004.66,42.546,27.909,614750.527,2411
2024-01-26 18:58:42,42023.95,41971.3,29.337,40.907,-486051.663,2399
2024-01-26 18:53:42,42005.79,42023.95,44.997,53.73,-367561.097,2438
2024-01-26 18:48:42,41942.02,42005.79,57.981,62.957,-210092.669,2947
2024-01-26 18:43:42,41962.45,41942.02,73.42,36.332,1555654.233,2021
2024-01-26 18:38:42,42012.24,41962.45,28.929,31.895,-124614.847,1904
2024-01-26 18:33:42,41930.64,42012.24,75.231,45.973,1227868.078,2845
2024-01-26 18:28:42,41915.57,41930.64,41.94,16.743,1056297.92,1927
2024-01-26 18:23:42,41900.85,41915.57,33.679,32.123,65329.985,2130
2024-01-26 18:18:42,41906.76,41900.85,41.835,18.329,985433.034,2149
2024-01-26 18:13:42,41920.78,41906.76,55.044,35.191,831952.187,2469
2024-01-26 18:08:42,41933.13,41920.78,61.393,49.734,489006.988,1896
2024-01-26 18:03:42,41890.33,41933.13,76.522,55.965,862451.72,2888
2024-01-26 17:58:42,41871.99,41890.33,70.269,86.073,-660605.257,2882
2024-01-26 17:53:42,41919.11,41871.99,49.235,81.12,-1336781.858,3000
2024-01-26 17:48:42,41988.0,41919.11,48.807,70.135,-895329.074,2688
2024-01-26 17:43:42,41959.23,41988.0,51.281,71.975,-867815.41,2919
2024-01-26 17:38:42,42017.49,41959.23,78.227,34.996,1814057.257,2966
2024-01-26 17:33:42,42031.91,42017.49,42.657,58.212,-653289.78,2425
2024-01-26 17:28:42,41976.0,42031.91,73.844,74.333,-20612.43,3000
2024-01-26 17:23:42,42178.01,41976.0,60.224,64.492,-180508.438,3000
2024-01-26 17:18:42,42175.9,42178.01,50.205,74.013,-1003421.828,3000
2024-01-26 17:13:42,42100.0,42175.9,91.677,39.118,2217200.135,3000
2024-01-26 17:08:42,42043.6,42100.0,70.302,44.634,1080486.185,2938
2024-01-26 17:03:42,42006.0,42043.6,53.168,46.482,280837.007,3000
